section,bar,x1,y1,x2,y2,index
1,15,596,10,831,56,56
1,14,831,56,1036,200,52
1,13,1036,200,1160,412,48
1,12,831,56,590,202,44
1,11,831,56,820,282,40
1,10,1036,200,820,282,36
1,9,1036,200,970,475,32
1,8,1160,412,970,475,28
1,7,590,202,820,282,24
1,6,820,282,970,475,20
1,5,820,282,590,404,16
1,4,820,282,786,540,12
1,3,970,475,786,540,8
1,2,590,404,786,540,4
1,1,786,540,590,600,0
2,15,1168,410,1190,650,116
2,14,1190,650,1120,895,112
2,13,1120,895,950,1080,108
2,12,1190,650,978,471,104
2,11,1190,650,976,716,100
2,10,1120,895,976,716,96
2,9,1120,895,840,916,92
2,8,950,1080,840,916,88
2,7,978,471,976,716,84
2,6,976,716,840,916,80
2,5,976,716,790,534,76
2,4,976,716,718,756,72
2,3,840,916,718,756,68
2,2,790,534,718,756,64
2,1,718,756,590,600,60
3,15,950,1077,712,1180,176
3,14,718,1180,462,1185,172
3,13,462,1185,232,1083,168
3,12,712,1180,836,916,164
3,11,712,1180,588,992,160
3,10,462,1185,588,992,156
3,9,462,1185,351,924,152
3,8,232,1083,351,924,148
3,7,836,916,588,992,144
3,6,588,992,351,924,140
3,5,588,992,720,758,136
3,4,588,992,470,764,132
3,3,351,924,470,764,128
3,2,720,758,470,764,124
3,1,470,764,590,600,120
4,15,236,1080,80,909,236
4,14,80,909,0,671,232
4,13,0,671,18,420,228
4,12,80,909,355,924,224
4,11,80,909,218,723,220
4,10,0,671,218,723,216
4,9,0,671,208,477,212
4,8,18,420,208,477,208
4,7,355,924,218,723,204
4,6,218,723,208,477,200
4,5,218,723,470,765,196
4,4,218,723,400,535,192
4,3,208,477,400,535,188
4,2,470,765,400,535,184
4,1,400,535,590,600,180
5,15,21,417,145,201,296
5,14,145,201,345,55,292
5,13,345,55,594,0,288
5,12,145,201,210,477,284
5,11,145,201,356,277,280
5,10,345,55,356,277,276
5,9,345,55,588,204,272
5,8,594,0,588,204,268
5,7,210,477,350,273,264
5,6,350,273,588,204,260
5,5,350,273,396,537,256
5,4,350,273,591,397,252
5,3,588,204,591,397,248
5,2,396,537,591,397,244
5,1,591,397,590,600,240
