Section,Bar,x1,y1,x2,y2,index,reverse
1,1,786,540,590,600,94,1
1,2,590,430,786,510,30,1
1,5,970,475,786,510,158,1
1,4,786,510,820,282,64,
1,3,820,282,590,404,0,1
1,6,820,282,970,475,128,1
1,7,590,185,820,282,320,
1,12,1160,427,970,475,414,1
1,11,970,475,1036,200,222,
1,10,1036,200,820,282,192,
1,9,820,282,831,56,256,1
1,8,831,56,590,202,350,
1,13,1036,200,1160,427,384,1
1,14,831,56,1036,200,286,1
1,15,596,10,831,56,448,
2,1,718,756,590,600,606,1
2,2,790,534,718,756,542,1
2,5,840,916,718,756,670,1
2,4,718,756,976,716,576,
2,3,976,716,790,534,512,1
2,6,976,716,840,916,640,1
2,7,978,471,976,716,832,
2,12,950,1080,840,916,926,1
2,11,840,916,1120,895,734,
2,10,1120,895,976,716,704,
2,9,976,716,1190,650,768,1
2,8,1190,650,978,471,862,
2,13,1120,895,950,1080,896,1
2,14,1190,650,1120,895,798,1
2,15,1160,427,1190,650,960,
3,1,470,764,590,600,1118,1
3,2,720,758,470,764,1054,1
3,5,351,924,470,764,1182,1
3,4,470,764,588,992,1088,
3,3,588,992,720,758,1024,1
3,6,588,992,351,924,1152,1
3,7,836,916,588,992,1344,
3,12,232,1083,351,924,1438,1
3,11,351,924,462,1185,1246,
3,10,462,1185,588,992,1216,
3,9,588,992,712,1180,1280,1
3,8,712,1180,836,916,1374,
3,13,462,1185,232,1083,1408,1
3,14,718,1180,462,1185,1310,1
3,15,950,1077,712,1180,1472,
4,1,400,535,590,600,1630,1
4,2,470,765,400,535,1566,1
4,5,208,477,400,535,1694,1
4,4,400,535,218,723,1600,
4,3,218,723,470,765,1536,1
4,6,218,723,208,477,1664,1
4,7,355,924,218,723,1856,
4,12,18,420,208,477,1950,1
4,11,208,477,0,671,1758,
4,10,0,671,218,723,1728,
4,9,218,723,80,909,1792,1
4,8,80,909,355,924,1886,
4,13,0,671,18,420,1920,1
4,14,80,909,0,671,1822,1
4,15,232,1083,80,909,1984,
5,1,591,397,590,600,2142,1
5,2,396,537,591,397,2078,1
5,5,588,204,591,397,2206,1
5,4,591,397,350,273,2112,
5,3,350,273,396,537,2048,1
5,6,350,273,588,204,2176,1
5,7,210,477,350,273,2368,
5,12,594,0,588,204,2462,1
5,11,588,204,345,55,2270,
5,10,345,55,356,277,2240,
5,9,356,277,145,201,2304,1
5,8,145,201,210,477,2398,
5,13,345,55,594,0,2432,1
5,14,145,201,345,55,2334,1
5,15,21,417,145,201,2496,
