Section,Bar,x1,y1,x2,y2,index
1,1,786,540,590,600,0
1,2,590,404,786,540,0
1,5,970,475,786,540,0
1,4,786,540,820,282,0
1,3,820,282,590,404,0
1,6,820,282,970,475,0
1,7,590,202,820,282,0
1,12,1160,412,970,475,0
1,11,970,475,1036,200,0
1,10,1036,200,820,282,0
1,9,820,282,831,56,0
1,8,831,56,590,202,0
1,13,1036,200,1160,412,0
1,14,831,56,1036,200,0
1,15,596,10,831,56,0
2,1,718,756,590,600,64
2,2,790,534,718,756,64
2,5,840,916,718,756,64
2,4,718,756,976,716,64
2,3,976,716,790,534,64
2,6,976,716,840,916,64
2,7,978,471,976,716,64
2,12,950,1080,840,916,64
2,11,840,916,1120,895,64
2,10,1120,895,976,716,64
2,9,976,716,1190,650,64
2,8,1190,650,978,471,64
2,13,1120,895,950,1080,64
2,14,1190,650,1120,895,64
2,15,1168,410,1190,650,64
3,1,470,764,590,600,128
3,2,720,758,470,764,128
3,5,351,924,470,764,128
3,4,470,764,588,992,128
3,3,588,992,720,758,128
3,6,588,992,351,924,128
3,7,836,916,588,992,128
3,12,232,1083,351,924,128
3,11,351,924,462,1185,128
3,10,462,1185,588,992,128
3,9,588,992,712,1180,128
3,8,712,1180,836,916,128
3,13,462,1185,232,1083,128
3,14,718,1180,462,1185,128
3,15,950,1077,712,1180,128
4,1,400,535,590,600,192
4,2,470,765,400,535,192
4,5,208,477,400,535,192
4,4,400,535,218,723,192
4,3,218,723,470,765,192
4,6,218,723,208,477,192
4,7,355,924,218,723,192
4,12,18,420,208,477,192
4,11,208,477,0,671,192
4,10,0,671,218,723,192
4,9,218,723,80,909,192
4,8,80,909,355,924,192
4,13,0,671,18,420,192
4,14,80,909,0,671,192
4,15,236,1080,80,909,192
5,1,591,397,590,600,256
5,2,396,537,591,397,256
5,5,588,204,591,397,256
5,4,591,397,350,273,256
5,3,350,273,396,537,256
5,6,350,273,588,204,256
5,7,210,477,350,273,256
5,12,594,0,588,204,256
5,11,588,204,345,55,256
5,10,345,55,356,277,256
5,9,356,277,145,201,256
5,8,145,201,210,477,256
5,13,345,55,594,0,256
5,14,145,201,345,55,256
5,15,21,417,145,201,256
