driver,bar,x1,y1,x2,y2,index,count,name
1,1,105.0,302.0,66.0,242.0,0,30,1-1A
1,2,67.0,242.0,22.0,176.0,30,30,1-1B
1,3,128.0,288.0,101.0,223.0,64,30,1-2A
1,4,102.0,224.0,68.0,153.0,94,30,1-2B
1,5,153.0,270.0,130.0,205.0,128,30,1-3A
1,6,131.0,207.0,105.0,133.0,158,30,1-3B
1,7,184.0,256.0,268.0,256.0,192,30,1-4A
1,8,266.0,256.0,225.0,331.0,222,30,1-4B
1,9,226.0,328.0,186.0,259.0,256,30,1-5A
1,10,289.0,273.0,308.0,204.0,320,30,1-6A
1,11,308.0,208.0,327.0,129.0,350,30,1-6B
1,12,315.0,278.0,343.0,206.0,384,30,1-7A
1,13,342.0,209.0,370.0,142.0,414,30,1-7B
1,14,345.0,286.0,378.0,221.0,448,30,1-8A
1,15,377.0,222.0,407.0,154.0,478,30,1-8B
