driver,bar,x1,y1,x2,y2,index,count,name
1,1,65.0,243.0,102.0,307.0,0,30,1-1A
1,2,26.0,175.0,65.0,241.0,30,30,1-1B
1,3,337.0,215.0,310.0,291.0,64,30,1-2A
1,4,360.0,146.0,337.0,217.0,94,30,1-2B
1,5,298.0,200.0,292.0,267.0,128,30,1-3A
1,6,308.0,115.0,297.0,198.0,158,30,1-3B
1,7,264.0,257.0,226.0,325.0,192,30,1-4A
1,8,147.0,104.0,150.0,182.0,286,30,1-5B
1,9,150.0,184.0,154.0,258.0,256,30,1-5A
1,10,112.0,213.0,129.0,283.0,320,30,1-6A
1,11,93.0,133.0,112.0,210.0,350,30,1-6B
1,12,369.0,246.0,328.0,316.0,384,30,1-7A
1,13,413.0,182.0,368.0,245.0,414,30,1-7B
1,14,201.0,260.0,231.0,320.0,448,30,1-8A
1,15,229.0,247.0,230.0,320.0,478,30,1-8B
