index	section	bar	led	reverse	num_leds
86	1	1	0	1	4
97	1	2	4	1	4
101	1	3	8		4
98	1	4	12	1	4
110	1	5	16		4
102	1	6	20		4
103	1	7	24	1	4
105	1	8	28	1	4
100	1	9	32		4
99	1	10	36	1	4
109	1	11	40	1	4
43	1	12	44	1	4
46	1	13	48		4
108	1	14	52		4
52	1	15	56		4
			60		4
87	2	1	64	1	4
88	2	2	68	1	4
35	2	3	72		4
36	2	4	76	1	4
89	2	5	80	1	4
37	2	6	84		4
38	2	7	88	1	4
42	2	8	92	1	4
39	2	9	96		4
34	2	10	100	1	4
29	2	11	104	1	4
90	2	12	108		4
32	2	13	112		4
116	2	14	116		4
115	2	15	120		4
			124		4
85	3	1	128	1	4
76	3	2	132	1	4
78	3	3	136		4
77	3	4	140	1	4
84	3	5	144		4
82	3	6	148		4
79	3	7	152	1	4
28	3	8	156	1	4
80	3	9	160		4
81	3	10	164	1	4
83	3	11	168	1	4
18	3	12	172		4
21	3	13	176		4
25	3	14	180		4
92	3	15	184		4
			188		4
74	4	1	192		4
75	4	2	196	1	4
9	4	3	200		4
10	4	4	204	1	4
69	4	5	208		4
11	4	6	212		4
12	4	7	216	1	4
17	4	8	220	1	4
13	4	9	224		4
8	4	10	228	1	4
7	4	11	232	1	4
70	4	12	236		4
2	4	13	240		4
6	4	14	244	1	4
15	4	15	248	1	4
			252		4
73	5	1	256	1	4
72	5	2	260	1	4
64	5	3	264		4
63	5	4	268	1	4
107	5	5	272	1	4
65	5	6	276		4
66	5	7	280		4
68	5	8	284	1	4
67	5	9	288		4
62	5	10	292	1	4
104	5	11	296	1	4
106	5	12	300	1	4
55	5	13	304		4
60	5	14	308		4
71	5	15	312		4
3					4
4					4
5					4
14					4
16					4
19					4
20					4
22					4
23					4
24					4
26					4
27					4
30					4
31					4
33					4
40					4
41					4
44					4
45					4
47					4
48					4
49					4
51					4
52					4
53					4
54					4
56					4
57					4
58					4
59					4
61					4
91					4
93					4
94					4
95					4
96					4
111					4
112					4
113					4
114					4
117					4
118					4
119					4
0					4
1					4
