index	section	bar	led	reverse	num_leds
101	1	3	0		30
97	1	2	30	1	30
			60		4
98	1	4	64	1	30
86	1	1	94	1	30
			124		4
102	1	6	128		30
110	1	5	158		30
			188		4
99	1	10	192	1	30
109	1	11	222	1	30
			252		4
100	1	9	256		30
108	1	14	286		30
			316		4
103	1	7	320	1	30
105	1	8	350	1	30
			380		4
46	1	13	384		30
43	1	12	414	1	30
			444		4
52	1	15	448		30
			478		34
35	2	3	512		30
88	2	2	542	1	30
			572		4
36	2	4	576	1	30
87	2	1	606	1	30
			636		4
37	2	6	640		30
89	2	5	670	1	30
			700		4
34	2	10	704	1	30
29	2	11	734	1	30
			764		4
39	2	9	768		30
116	2	14	798		30
			828		4
38	2	7	832	1	30
42	2	8	862	1	30
			892		4
32	2	13	896		30
90	2	12	926		30
			956		4
115	2	15	960		30
			990		34
78	3	3	1024		30
76	3	2	1054	1	30
			1084		4
77	3	4	1088	1	30
85	3	1	1118	1	30
			1148		4
82	3	6	1152		30
84	3	5	1182		30
			1212		4
81	3	10	1216	1	30
83	3	11	1246	1	30
			1276		4
80	3	9	1280		30
25	3	14	1310		30
			1340		4
79	3	7	1344	1	30
28	3	8	1374	1	30
			1404		4
21	3	13	1408		30
18	3	12	1438		30
			1468		4
92	3	15	1472		30
			1502		34
9	4	3	1536		30
75	4	2	1566	1	30
			1596		4
10	4	4	1600	1	30
74	4	1	1630		30
			1660		4
11	4	6	1664		30
69	4	5	1694		30
			1690		4
8	4	10	1728	1	30
7	4	11	1758	1	30
			1788		4
13	4	9	1792		30
6	4	14	1822	1	30
			1852		4
12	4	7	1856	1	30
17	4	8	1886	1	30
			1916		4
2	4	13	1920		30
70	4	12	1950		30
			1980		4
15	4	15	1984	1	30
			2014		34
64	5	3	2048		30
72	5	2	2078	1	30
			2108		4
63	5	4	2112	1	30
73	5	1	2142	1	30
			2172		4
65	5	6	2176		30
107	5	5	2206	1	30
			2236		4
62	5	10	2240	1	30
104	5	11	2270	1	30
			2300		4
67	5	9	2304		30
60	5	14	2334		30
			2364		4
66	5	7	2368		30
68	5	8	2398	1	30
			2428		4
55	5	13	2432		30
106	5	12	2462	1	30
			2492		4
71	5	15	2496		30
