led	x	y	z
0	12.5658	12.0859995	11.8428
1	13.378601	12.35	11.6856
2	14.191401	12.614	11.5284
3	15.004201	12.878	11.3712
4	15.506601	12.186601	11.214
5	15.196201	11.2312	11.214001
6	14.885801	10.2758	11.214
7	14.5754	9.3204	11.214
8	15.148201	8.6062	10.8784
9	16.0314	8.847401	10.542801
10	16.9146	9.0886	10.2072
11	17.7978	9.3298	9.8716
12	18.1082	10.2852	9.8716
13	17.5354	10.999401	10.207201
14	16.9626	11.7136	10.5428
15	16.389801	12.4278	10.8784
16	18.7434	14.093201	9.311601
17	18.0118	13.8554	9.787201
18	17.280201	13.6176	10.2628
19	16.548601	13.379801	10.7383995
20	19.3162	13.379001	8.976001
21	19.1574	12.427	9.116001
22	18.9986	11.475	9.2560005
23	18.8398	10.523001	9.396
24	18.2498	8.707601	9.396001
25	17.8186	7.8442006	9.2560005
26	17.3874	6.9808	9.116
27	16.9562	6.1174	8.976001
28	17.337801	5.5180006	8.308001
29	18.1506	5.7820005	7.7800007
30	18.963402	6.046	7.252
31	19.776201	6.31	6.724
32	20.207401	7.1734	6.8640003
33	19.825802	7.7728004	7.5320005
34	19.444199	8.3722	8.200001
35	19.0626	8.971601	8.868
36	19.342001	9.8316	8.868
37	20.003	10.0922	8.200001
38	20.664	10.3528	7.532
39	21.325	10.6133995	6.864
40	21.4838	11.5654	6.724
41	20.981602	12.256801	7.2520003
42	20.4794	12.9482	7.7800007
43	19.9772	13.639601	8.308001
44	21.4638	14.977401	6.0608
45	20.9666	14.815802	6.7546005
46	20.4694	14.6542	7.4484005
47	19.9722	14.4926	8.1422
48	21.966	14.286	5.5328
49	21.971	13.433001	5.6986003
50	21.976002	12.58	5.8644
51	21.981	11.726999	6.0302
52	21.7066	10.014	6.196
53	21.4272	9.154	6.196
54	21.1478	8.294	6.196
55	20.8684	7.434	6.196
56	20.083601	5.887	6.0302
57	19.578201	5.2	5.8644
58	19.0728	4.513	5.6986003
59	18.5674	3.8259997	5.5328
60			
61			
62			
63			
64	11.753	12.6765995	11.8428
65	11.753	13.5312	11.6856
66	11.753	14.385799	11.5284
67	11.753	15.240399	11.3712
68	12.5658	15.504399	11.214
69	13.378601	14.913799	11.214001
70	14.191401	14.3232	11.214
71	15.004201	13.7326	11.214
72	15.8606	14.056601	10.8784
73	15.9042015	14.971201	10.542801
74	15.9478	15.8858	10.2072
75	15.9914	16.8004	9.8716
76	15.1786	17.390999	9.8716
77	14.322201	17.067001	10.207201
78	13.465799	16.743	10.5428
79	12.6094	16.418999	10.8784
80	11.753	19.171799	9.311601
81	11.753	18.4026	9.787201
82	11.753	17.6334	10.2628
83	11.753	16.864199	10.7383995
84	12.6094	19.4958	8.976001
85	13.4658	19.0506	9.116001
86	14.322201	18.6054	9.2560005
87	15.1786	18.1602	9.396
88	16.723	17.0382	9.396001
89	17.411001	16.3614	9.2560005
90	18.098999	15.6846	9.116
91	18.787	15.007801	8.976001
92	19.475	15.185401	8.308001
93	19.475	16.0398	7.7800007
94	19.475	16.8942	7.252
95	19.475	17.7486	6.724
96	18.787	18.4254	6.8640003
97	18.099	18.2478	7.5320005
98	17.411	18.0702	8.200001
99	16.723	17.8926	8.868
100	15.9914	18.4242	8.868
101	15.947801	19.1334	8.200001
102	15.904201	19.8426	7.532
103	15.8606	20.5518	6.864
104	15.004201	20.997	6.724
105	14.191401	20.733	7.2520003
106	13.3786	20.469	7.7800007
107	12.5658	20.205	8.308001
108	11.753	22.0322	6.0608
109	11.753	21.509401	6.7546005
110	11.753	20.986599	7.4484005
111	11.753	20.463799	8.1422
112	12.5658	22.2962	5.5328
113	13.378601	22.037401	5.6986003
114	14.191401	21.778599	5.8644
115	15.004201	21.5198	6.0302
116	16.548601	20.7294	6.196
117	17.280201	20.1978	6.196
118	18.0118	19.666199	6.196
119	18.7434	19.1346	6.196
120	19.9722	17.9102	6.0302
121	20.4694	17.2174	5.8644
122	20.9666	16.524601	5.6986003
123	21.4638	15.8318	5.5328
124			
125			
126			
127			
128	10.9404	12.0859995	11.8428
129	10.1278	12.35	11.6856
130	9.315201	12.614	11.5284
131	8.5026	12.878	11.3712
132	8.5026	13.7326	11.214
133	9.315201	14.3232	11.214001
134	10.1278	14.913799	11.214
135	10.9404	15.504399	11.214
136	10.8966	16.418999	10.8784
137	10.0402	16.743	10.542801
138	9.1838	17.067	10.2072
139	8.3274	17.390999	9.8716
140	7.5148005	16.8004	9.8716
141	7.5586004	15.885801	10.207201
142	7.6024003	14.9712	10.5428
143	7.6462	14.056601	10.8784
144	6.9584	13.379801	10.7384
145	6.2268004	13.617601	10.2628
146	5.4952	13.8554	9.7872
147	4.7636	14.093201	9.3116
148	4.7198	15.007801	8.976001
149	5.4076004	15.684601	9.116001
150	6.0954	16.3614	9.2560005
151	6.7832003	17.0382	9.396
152	8.3274	18.1602	9.396001
153	9.1838	18.6054	9.2560005
154	10.0402	19.0506	9.116
155	10.8966	19.4958	8.976001
156	10.9404	20.205	8.308001
157	10.1278	20.469002	7.7800007
158	9.315201	20.733	7.252
159	8.5026	20.997	6.724
160	7.6462	20.5518	6.8640003
161	7.602401	19.8426	7.5320005
162	7.5586	19.1334	8.200001
163	7.5148	18.4242	8.868
164	6.7832003	17.892601	8.868
165	6.0954003	18.070202	8.200001
166	5.4076004	18.247799	7.532
167	4.7198	18.4254	6.864
168	4.032	17.7486	6.724
169	4.032	16.894201	7.2520003
170	4.032	16.0398	7.7800007
171	4.032	15.185401	8.308001
172	3.5346	14.492601	8.1422
173	3.0372002	14.654201	7.4484005
174	2.5398	14.815801	6.7546005
175	2.0424	14.9774	6.0608
176	2.0424	15.8318	5.5328
177	2.5398	16.524601	5.6986003
178	3.0372002	17.2174	5.8644
179	3.5346	17.9102	6.0302
180	4.7636	19.134602	6.196
181	5.4952	19.6662	6.196
182	6.2268	20.1978	6.196
183	6.9584	20.7294	6.196
184	8.5026	21.5198	6.0302
185	9.315201	21.7786	5.8644
186	10.1278	22.0374	5.6986003
187	10.9404	22.2962	5.5328
188			
189			
190			
191			
192	11.2508	11.1306	11.8428
193	10.7486	10.4392	11.6856
194	10.2464	9.747799	11.5284
195	9.7442	9.056399	11.3712
196	8.9316	9.3204	11.214
197	8.6212	10.275801	11.214001
198	8.3108	11.2312	11.214
199	8.0004	12.1866	11.214
200	7.117	12.4278	10.8784
201	6.544	11.7136	10.542801
202	5.9709997	10.9994	10.2072
203	5.398	10.2852	9.8716
